पतलून,trousers 
प्लीहज,splenic 
तिल्ली,का splenetic 
प्लीहज,splenetic 
चिड़चिड़ा,waspish 
चिड़चिड़ा,splenetic 
दीप्ति,splendor 
दीप्ति,splendour 
शान-शौकत,splendor 
शान-शौकत,splendour 
भव्यता,splendor 
भव्यता,splendour 
शानदार,ढंग से splendidly 
गुस्सा,spleen 
तिल्ली,spleen 
प्लीहा,spleen 
चपटे,पैरों वाला splayfoot 
चपटे,पैरों वाला splay-footed 
कटाव,splay 
बाहर,को निकला हुआ splay 
फैल,जाना splay
फैलाना,splay 
धाँधली,कर के पैसा बनान वाला spiv 
पीकदान,spittoon 
तुनकमिजाज़,spitfire 
दुर्भावना,bitchiness 
ईर्ष्या,cattiness 
विद्वेष,spitefulness 
दुर्भावनापूर्वक,spitefully 
ईर्ष्यापूर्वक,spitefully 
ईर्ष्यालु,vindictive 
ईर्ष्यालु,spiteful 
ईर्ष्यापूर्ण,spiteful 
अध्यात्मवादी,spiritualistic 
अध्यात्मवादी,spiritualist 
प्रेतात्मवाद,spiritualism 
प्रेतात्मवादी,spiritualist 
अध्यात्म,की दृष्टि से spiritually 
आध्यात्मिक,रूप से spiritually 
पारलौकिकता,otherworldliness 
अध्यात्मवाद,spiritism 
अध्यात्मवाद,spiritualism 
चर्च,की संपत्ति church property 
चर्च,की संपत्ति spiritualty 
धार्मिक,गीत Negro spiritual 
साधनी,level
जीवंतता,spiritedness 
जीवटता,spiritedness 
उत्साहहीनता,spiritlessness 
स्पिरिट,लेवल spirit-level 
निस्तेज,spiritless 
बेजान,spiritless 
बहादुरी,से spiritedly 
जोशपूर्ण,ढंग से spiritedly 
उत्साहपूर्ण,enlivened 
जोशपूर्ण,spirited
बहादुर,spirited 
मीनार,spire 
चोटी,spire 
तेजी,से गिरना spiral downward 
अविवाहितापन,spinsterhood 
अधेड़,अविवाहिताओं जैसा spinsterly 
अधेड़,अविवाहिताओं जैसा spinsterish 
सूत,कातने वाला thread maker 
सूत,कातने वाला spinster 
अधेड़,अविवाहिता spinster 
चिर,कुमारी spinster 
बड़ा,पाल spinnaker 
छोटा,पियानो spinet 
स्पिनेट,spinet 
कँटीला,thorny 
कँटीला,setaceous 
कँटीला,setose 
कँटीला,burry 
कँटीला,burred 
काँटेदार,bristly 
कँटीला,bristled 
कँटीला,briery 
कँटीला,briary 
कँटीला,barbellate 
कँटीला,spiny 
काँटेदार,spinous 
काँटेदार,spiny 
बिना,काँटों का thornless 
बिना,काँटों का spineless 
कंटकहीन,spineless 
मेरुदण्डविहीन,spineless 
कायर,spineless 
लंबा-पतला,spindly 
तंतु,spindle
तकली,spindle 
धुरी,spindle 
रीढ़,spinal column 
मेरुरज्जु,medulla spinalis 
मेरुदण्ड,spine 
रीढ़,की हड्डी backbone 
मेरुदण्ड,rachis 
मेरुदण्ड,vertebral column 
मेरु-असंवेदना,spinal anaesthesia 
मेरु-असंवेदना,spinal anesthesia 
मेरु-असंवेदना,spinal 
मेरुदण्डीय,spinal 
द्विमेरुता,schistorrhachis 
द्विमेरुता,rachischisis 
पालक,Spinacia oleracea 
पालक,prickly-seeded spinach 
पालक,spinach plant 
पालक,spinach
द्विमेरुता,spina bifida 
अन्य,उत्पाद पैदा करना spin-off 
उपोत्पाद,spin-off 
कपड़े,सुखाने की मशीन spin dryer
कताई,spinning 
घूर्णक,spinner 
कातने,की मशीन spinner 
चरखी,spinner
कातने,वाला spinner 
स्पिन,गेंदबाज़ spinner 
स्पिनर,spinner 
छलका,हुआ spillage 
छलकाव,spillage 
गिर,जाना spill 
कागज,की बत्ती spill 
लंबी,दियासलाई spill 
छलका,हुआ spill 
चिड़चिड़ा,spiky 
काँटे,की तरह खड़ा spiky 
नुकीला,spiky 
नोकदार,spiked 
कीलदार,spiked 
काँटेदार,spiked 
कील,जड़ा spiked 
स्पष्ट,रूप से बढ़ जाना spike 
बाली,फूटना spike 
कील,जड़ना spike 
राह,में रोड़े अटकाना spike 
बाली,capitulum 
कीला,spike
खूँटी,spike 
कील,spike 
खड़ी,चढ़ाई और गहरी ढलान spike 
बाली,spike 
प्रवाह,में क्षणिक परिवर्तन spike 
रोक,देना spike 
मिलाना,spike
मिलाना,spike 
भेदना,spike 
स्पाइक,spike
कीलदार,जूता spike
धातु,की कील spike 
नुकीली,खूँटी spike 
डाट,spigot 
भाषण,देना spiel 
भाषण,spiel 
मकड़ी,जैसा spiderly 
मकड़ी,जैसा arachnidian 
मकड़ी,जैसा arachnoid 
मकड़ी,जैसा spiderlike 
मकड़ी,जैसा spidery 
लोहे,का हत्थेदार तवा spider 
स्पाइडर,spider
रोचक,बनाना spice up 
मसाले,मिलाना spice 
चटपटा,बनाना spice up 
अश्लील,भाषा spiciness 
अश्लील,व्यवहार spiciness 
चटपटापन,spicery 
चटपटापन,spiciness 
उत्तेजक,risque 
उत्तेजक,gamey 
चटपटा,gamey 
चटपटा,gamy 
उत्तेजक,gamy 
रोचक,spicy 
उत्तेजक,spicy 
चटपटापन,spice 
मसाला,spice 
नरसिंही,मूर्ति sphinx 
रहस्यमय,व्यक्ति sphinx 
स्फ़िंक्स,Sphinx
संकोचिनी,मांसपेशी sphincter muscle 
शारीरिक,संकोचिनी मांसपेशी anatomical sphincter 
संकोचिनीई,sphincter 
गोलाभ,spheroid 
गोलाकार,spheric 
गोलाकार,orbicular 
गोलाकार,globose 
गोलाकार,ball-shaped 
गोल,ball-shaped 
गोलीय,spherical 
गोलाकार,spherical 
गोल,spherical 
दलदली,काई bog moss 
दलदली,काई peat moss 
काई,sphagnum moss 
काई,sphagnum 
उगलना,spew 
वेगपूर्वक,निकलना spew 
शुक्राणुनाशक,spermicidal 
शुक्राणुनाशक,spermatocide 
शुक्राणुनाशक,spermicide 
शुक्राणु-संख्या,का अनुमान sperm count
शुक्राणु,गणना sperm count 
शुक्राणु,spermatozoon 
शुक्राणु,sperm cell 
वीर्य,semen 
थका-माँदा,worn out 
थका-माँदा,fagged 
प्रयुक्त,spent 
खर्च,spending 
खर्च,करने वाला spender 
मंत्रमुग्ध,mesmerised 
मंत्रमुग्ध,mesmerized 
मंत्रमुग्ध,hypnotised 
मंत्रमुग्ध,spellbound 
सम्मोहित,करना bewitch 
सम्मोहित,करना magnetise 
सम्मोहित,करना magnetize 
सम्मोहित,करना spellbind 
जड़वत्,कर देना spellbind 
मंत्रमुग्ध,कर देने वाला mesmeric 
मंत्रमुग्ध,कर देने वाला hypnotic 
वर्तनी-पुस्तिका,speller 
हिज्जे,करने वाला speller 
वर्तनीकार,speller 
गुहा,विचरण spelaeology 
गुहा,विचरण speleology 
गुहा-विज्ञान,spelaeology 
गुहा-विज्ञान,speleology 
वेरोनिका,veronica 
गतिमापी,यंत्र speed indicator 
और,तेज़ हो जाना speed up
जल्दी,speed
बढ़ाना,speed
शीघ्रता,speediness 
द्रुतता,speediness 
तेज़ी,से speedily 
जल्दी,speedily 
द्रुत,quick 
द्रुत,speedy 
तेज़ी,से चलने वाला speedy 
शीघ्र,speedy 
तेज़ी,से आता हुआ speeding 
गति-त्वरण,speeding 
वाक्,चिकित्सक speech therapist 
खामोशी,से speechlessly 
बिना,बोले speechlessly 
अटकलबाज़्,speculativeness 
आर्थिक,अव्यावहारिकता speculativeness 
मूकता,speechlessness 
गूँगापन,speechlessness 
मूक,speechless 
गूँगा,speechless 
अवाक्,speechless 
चिंतनशील,speculative 
मीमांसात्मक,speculative 
प्रत्याशित,speculative 
कौतूहलपूर्ण,speculative 
कल्पित,speculative 
चिंतन,speculation 
मनन,speculation 
अटकलबाज़,speculator 
सटोरिया,speculator 
अधिवर्ष,leap year
अनुमान,लगाना suppose 
अनुमान,लगाना hypothecate 
अनुमान,लगाना theorise 
अनुमान,लगाना theorize 
सट्टा,लगाना speculate 
स्पेक्ट्रमी,विश्लेषण spectrographic analysis 
स्पेक्ट्रमी,विश्लेषण spectrum analysis 
स्पेक्ट्रमी,विश्लेषण spectroscopic analysis 
स्पेक्ट्रोमिकी,spectrometry 
स्पेक्ट्रम,विज्ञान spectrometry 
स्पेक्ट्रोमिकी,spectroscopy 
स्पेक्ट्रमी,spectroscopical 
स्पेक्ट्रमदर्शी,prism spectroscope 
प्रिज़्म,स्पेक्ट्रोस्कोप prism spectroscope 
स्पेक्ट्रमदर्शी,spectroscope 
स्पेक्ट्रममापी,mass spectrometer 
वर्णक्रममापी,mass spectrometer 
वर्णक्रममापी,spectrometer 
विस्तृत,श्रेणी spectrum 
तरंग,spectrum 
प्रेतवत्,spectral 
वर्णक्रम,संबंधी spectral 
भुतहा,spectral 
विचित्र,वस्तु apparition 
प्रेतछाया,spectre 
साया,specter 
साया,spectre 
स्पेक्टेटर,पंप spectator pump
स्पेक्टेटर,spectator
असाधारण,रूप से stunningly 
असाधारण,रूप से spectacularly 
आलीशान,ढंग से spectacularly 
असाधारण,spectacular 
असाधारण,striking 
चमत्कारपूर्ण,spectacular 
एकचश्मी,ऐनक्धारी monocled 
चश्मा,लगाया हुआ spectacled 
चश्माधारी,bespectacled 
चश्माधारी,spectacled 
चश्मा,spectacles 
तमाशा,spectacle
तमाशा,spectacle 
दृश्य,spectacle 
प्रदर्शन,spectacle 
चश्मा,glasses 
चश्मा,eyeglasses 
चश्मा,specs 
चश्मा,spectacle
चितकबरा,speckled 
धब्बेदार,specked 
धब्बेदार,speckled 
चित्तीदार,speckled 
चित्तियों,से भरना speckle 
धब्बेदार,करना speckle 
चित्ती,dapple 
धब्बा,speckle 
चित्ती,speckle 
धब्बे,लगाना speck 
धब्बा,speck 
कण,speck 
छद्मपूर्ण,specious 
अजीब,आदमी specimen 
विनिर्दिष्टता,specificity 
विशिष्टता,specificity 
विशेष,रूप से specifically 
सुनिश्चित,वर्णन specifics 
शल्यचिकित्सा-शास्त्र,surgery 
भविष्यवक्ताअ,fantast 
भविष्यवक्ता,futurist 
भविष्यवादी,futurist 
भविष्यवाद,futurism 
भविष्यवादी,कलात्मक आंदोलन futurism 
भविष्यवाद,संबंधी futurist 
भविष्यवादी,futuristic 
कड़ी,मेहनत करना not spare oneself 
कोई,भी कमी रखना spare 
देना,spare 
हक्का,बक्का spaced out 
तालियाँ,बजाकर अभिनंदन करना spat 
सोडियम,बइकार्बोनेट sodium bicarbonate 
विशेषता,specialty 
विशेषता,speciality 
विशिष्टीकरण,specialism 
विशेषज्ञता,specialism 
विशेष,निर्देश specs 
विशेष,निर्देश spec 
पुदीना,Mentha spicata 
नेतृत्व,करना spearhead 
भाले,की नोक spearhead 
नेतृत्व,करने वाली फ़ौजी टुकड़ी spearhead 
गैरकानूनी,शराबघर speakeasy 
अंडसमूह,spawn 
जन्म,देना spawn 
पैदा,करना spawn 
अंडे,देना spawn 
जीभ,दबाने का औजार tongue depressor 
जीभ,दबाने का औजार spatula 
चपटे,फल की चम्मच fish slice 
चपटे,फल की चम्मच spatula 
स्पैचुला,spatula 
चपटे,फल वाली लेपनी spatula 
तड़तड़ाहट,sputtering 
तड़तड़ाहट,splutter 
तड़तड़ाहट,sputter 
तड़तड़ाहट,splattering 
तड़तड़ाहट,splatter 
तड़तड़ाहट,spattering 
तड़तड़ाहट,spatter 
छींटा,spatter 
तड़तड़ा,कर गिरना spatter 
छींटे,उड़ाना spatter 
ताली,बजाना spat 
अंडे,देना spat 
झगड़ना,spat 
स्थायी,रूप से सट जाना spat 
बारिश,की बूंदों की तरह प्रहार करना spat 
बूंदों,की तरह बरसना spat 
द्विकपाटी,जंतु spat 
गुल्फ,त्राण spat 
संस्तंभता,से पीड़ित व्यक्ति spastic 
मंदबुद्धि,spastic 
संस्तंभी,spastic 
बीच-बीच,में spasmodically 
अनियमित,रूप से spasmodically 
ऐंठन,के साथ spasmodically 
दौरा,spasm 
खिंचावयुक्त,spasmodic 
अनियमित,spasmodic 
लहर,spasm 
ऐंठन,spasm 
स्पार्ता,Sparta 
कठोरता,से अनुशासित spartan 
निर्भीक,spartan 
स्पार्ता,का Spartan 
स्पार्ती,Spartan 
सादा,spartan 
विरलता,thinness 
विरलता,sparsity 
विरलता,spareness 
विरलता,sparseness 
अपर्याप्त,sparse 
छिटपुट,sparse 
प्रारंभिक,मुष्टि-प्रहार sparring
प्रूनेला,मौड्युलरिसआ Prunella modularis
गौरैया,dunnock
गौरैया,hedge sparrow
गौरैया,true sparrow
झिलमिलाहट,sparkling 
उत्कृष्ट,sparkling 
दिलचस्प,sparkling 
बुलबुलेदार,sparkling 
झिलमिलाता,हुआ sparkling 
हीरा,sparkler 
फुलझड़ी,sparkler 
जोश,sparkle 
स्फुर्लिंग,प्लग sparking plug 
स्पार्क,प्लग sparking plug 
स्पार्क,प्लग spark-plug 
जोशीला,sparky 
कारण,बनना spark 
चमक,आना spark 
भड़काना,spark 
चिंगारी,spark
सजीवता,spark
शुरू,कर देना spark 
जीवंत,sparky 
चिंगारी,spark
किरण,spark 
स्फुर्लिंग,spark 
सीमित,रूप से slenderly 
किफ़ायत,से meagrely 
किफ़ायत,से meagerly 
सुअर,की पसली का मांसअ spare rib 
मुक्केबाजी,का साथी sparring partner 
वाद-विवादी,साथी sparring partner 
स्पार,spar 
मस्तूल,spar 
कहा-सुनी,spat 
अधात्विक,खनिज spar 
निश्चित,रूप से by all odds 
मुक्केबाजी,का अभ्यास sparring 
मुक्केबाजी,का अभ्यास spar 
तकरार,करना spar 
मुक्केबाजी,करना spar 
स्पैनर,spanner 
पाना,spanner 
पिछाड़ी,पर ज़ोरदार पिटाई spanking 
थप्पड़,spank 
पिछाड़ी,पर थप्पड़ मारना spank 
स्पेनियल,spaniel
फैला,होना span
फैला,होना span 
आर-पार,फैला होना span 
अवधि,में फैला होना span 
फैलाव,span 
पाट,span 
विविधता,span 
जंक,ई-मेल junk e-mail 
स्पैम,spam
स्पैम,Spam 
बिना,लाग-लपेट के कहना call a spade a spade 
हुकुम,spade 
विस्तार,के साथ spaciously 
स्थान,की दृष्टि से spatially 
स्थानिक,spacial 
हतबुद्धि,spaced out 
हक्क्,spaced out 
अंतराल,spacing 
स्पेस-बार,space-bar 
अंतरिक्ष,युग space age 
स्वास्थ्य-प्रशिक्षण,केंद्र health club 
स्वास्थ्य-प्रशिक्षण,केंद्र health spa 
स्वास्थ्य-प्रशिक्षण,केंद्र spa 
सैरगाह,होटल holiday resort 
स्कीइंग,सुविधायुक्त सैरगाह होटल ski resort 
स्पा,spa
स्पा,spa
खनिज,जलीय स्थल spa 
खनिज,जल स्रोत spa 
सोयाबीन,soybean 
सोया,सॉस soy sauce 
सोया,soy
सोया,soy 
सोया,soya
सोया,soya 
बुआई,करने वाला sower
वापक,sower 
बुआई,करने वाला sower
रोपना,sow 
सुअरी,sow 
सोवियत,soviet
स्वशासी,self-governing
दक्षिण-पश्चिमी,तूफ़ान sou'wester 
दक्षिण-पश्चिमी,हवा sou'wester 
बरसाती,टोपी sou'wester 
यादगार,souvenir 
निशानी,souvenir 
सुदूर,दक्षिणी southmost 
दक्षिण,अमरीकावासी Southerner 
दक्षिण,से आने वाला southerly 
दक्षिण,से आने वाला southern 
दक्षिण,की ओर जाने वाला southerly 
दक्षिणी,southerly 
पश्चिमी,हवा souther 
पश्चिमी,हवा south wind 
दक्षिणी,हवा southerly 
दक्षिण,पश्चिम की ओर southwestwards 
दक्षिण,पश्चिम की ओर southwestward 
पश्चिमी,सैक्सन बोली West Saxon 
दक्षिण,पश्चिमी बोली Southwestern
दक्षिण,पश्चिम में southwest 
दक्षिण,पश्चिम की ओर southwest 
दक्षिण,पश्चिम अमरीका southwestern United States 
द.प.,SW 
दक्षिण,पश्चिम southwestward 
दक्षिण,पश्चिम sou'-west 
दक्षिण,पश्चिम south-west 
दक्षिण,पूर्व से आने वाला southeasterly 
दक्षिण-पूर्वी,अमरीका का southeastern 
दक्षिण,पूर्वी southeasterly 
दक्षिण,पूर्वी southeastern 
स्रोत,source
जड़,source
स्रोत,source
स्रोत,source
सूत्र,source
नशीली,दवा देना soup 
अनुष्ठानकर्ता,minister 
पुरोहित,minister 
ढालना,douse 
भिगोना,drench 
डुबकी,soaking 
डुबकी,drenching 
स्टफ़,शौट stuff shot
डंक,शौट dunk shot 
डंक,dunk
बहुत,ऊँचा कूद कर गेंद बास्केट में डालना dunk 
डुबा,कर खाना dunk 
पियक्कड़,soaker 
पियक्कड़,alky 
मद्यव्यसनी,alcohol-dependent 
पियक्कड़,alcoholic 
दक्षिण-पूर्व,अमरीका southeastern United States 
दक्षिण-पूर्व,अमरीका Southeast 
दक्षिण-पूर्व,southeastward 
दक्षिण,की ओर southwards 
दक्षिण,की ओर southward 
दक्षिण,दिशा southward 
दक्षिणी,southward 
डुबकी,sousing 
डुबकी,souse 
पियक्कड़,souse 
सुअर,के मांस का अचार souse 
पी,कर धुत्त हो जाना souse 
तेल-मसाले,आदि के मिश्रण में भिगाना souse 
ढालना,souse 
डुबाना,dunk 
डुबाना,souse 
बदमिजाज़,pouter 
बदमिजाज़,gloomy Gus 
बदमिजाज़,picklepuss 
पश्चिम,अमरीकी पूर्ववेक्षक sourdough 
खमीरी,रोटी sourdough 
खट्टापन,sourness 
खट्टी,मलाई soured cream 
कड़वाहट,tartness 
कटुता,tartness 
चिड़चिड़ापन,sourness 
कड़वाहटअ,sourness 
कटुता,sourness 
अतिशय,भावुकतापूर्ण slushy 
अतिशय,भावुकतापूर्ण schmalzy 
अतिशय,भावुकतापूर्ण schmaltzy 
अतिशय,भावुकतापूर्ण hokey 
अतिशय,भावुकतापूर्ण drippy 
अतिशय,भावुकतापूर्ण bathetic 
अतिशय,भावुकतापूर्ण soupy 
कटुतापूर्वक,sourly 
सूप,जैसा soupy 
ध्वनिसह,बनाना soundproof 
ध्वनिरोधी,बनाना soundproof 
ध्वनिरोधी,soundproofed 
थाहमापी,डोर lead line 
थाहमापी,डोर sounding line 
गहराई,मापन soundings 
पूछ-ताछ,soundings 
पूर्णता,soundness 
स्वस्थता,soundness 
दृढ़ता,soundness 
तर्कपूर्णता,soundness 
मजबूती,soundness 
बुरी,तरह से soundly
काफ़ी,अच्छे से soundly 
मजबूत,ढंग से soundly 
पक्के,ढंग से soundly 
बुरी,तरह से soundly 
ध्वनि-अवरोधक,sonic barrier 
शांत,still 
निश्शब्द,still 
शांत,soundless 
निश्शब्द,soundless 
आत्मविश्लेषण,self-analysis 
आत्मविश्लेषण,soul-searching 
भावपूर्णता,soulfulness 
भावपूर्ण,ढंग से soulfully 
भावपूर्ण,soulful 
भावशून्य,soulless 
निर्जीव,soulless 
दबी,ज़बान से कह् sotto voce 
दबी,आवाज़ में sotto voce 
पियक्कड़,sot 
पियक्कड़,wino 
पियक्कड़,inebriate 
पियक्कड़,rummy 
कामचलाऊ,ढंग से tolerably 
कामचलाऊ,so-so 
साधारण,so-so 
कामचलाऊ,ढंग से so-so 
प्रयास,sortie 
सैर,sortie 
सामरिक,उड़ान sortie 
दुख,के साथ sorrowfully 
शोकसंतृप्त,sorrowful 
उदास,sorrowful 
सौरेल,sorrel
सौरेल,sorrel 
भगिनी,संघ sorority 
अमरीकी,कॉलेज का नारी-संघ sorority 
पीड़ा,tenderness 
चिंता,soreness 
पीड़ा,soreness 
बहुत,ज़्यादा sorely 
दर्दनाक,sore 
घाव,sore 
सुबकना,sob 
काला,जादू necromancy 
काला,जादू black art 
जादू-टोना,sorcery 
जादूगरनी,sorceress 
ओझा,thaumaturgist 
ओझा,thaumaturge 
जादूगर,wizard
जादूगर,wizard 
जादूगर,sorcerer 
शर्बत,sherbet
शर्बर्ट,sherbert
सौबेट,sorbet
उच्चतम,स्वर का treble 
उच्चतम,स्वर का soprano 
नारी,स्वर की उच्चतम श्रेणी soprano 
उच्चतम,स्वर की गायिका soprano 
उच्चतम,स्वर का गायक soprano 
गायन,में उच्चतम स्वर soprano 
स्वापक,soporific
निद्राजनक,hypnagogic 
निद्राजनक,hypnogogic 
निद्राजनक,somnific 
निद्राजनक,somniferous 
आलस्यजनक,soporiferous 
निद्राजनक,soporiferous 
आलस्यजनक,soporific 
निद्राजनक,soporific 
द्वितीय,वर्ष का sophomore 
द्वितीय,वर्ष का विद्यार्थी soph 
उच्च,विद्यालय का विद्यार्थी sophomore 
द्वितीय,वर्ष का विद्यार्थी sophomore 
वितंडा,sophism 
कुतर्क,sophistry 
वितंडा,sophistry 
विशेषज्ञता,sophistication 
कृत्रिमता,sophistication 
बनावट,sophistication 
दुनियादारी,sophistication 
परिष्करण,sophistication 
जटिल,बनाना sophisticate 
मिलावट,करना sophisticate 
कृत्रिम,बनाना sophisticate 
दुनियादार,आदमी man of the world 
दुनियादार,आदमी sophisticate 
परिष्कृत,व्यक्ति sophisticate 
प्रगतिशील,sophisticated 
बौद्धिक,रूप से प्रभावशाली sophisticated 
उप-ठेका,subcontract 
प्रबुद्ध,sophisticated 
ज्योतिष्,fortune telling 
ज्योतिष,soothsaying 
ज्योतिषी,soothsayer 
सांत्वनादायक,ढंग से soothingly 
सांत्वनादायक,soothing 
आरामदेह,soothing 
सांत्वना,देना soothe 
आराम,पहुँचाना soothe 
कम,करना soothe 
शांत,करना soothe 
कालिळ,भरा sooty 
कालिख,जैस् sooty 
कालिख,लगाना crock 
रंग,छोड़ना crock 
बकवास,crock 
कालिख,crock 
खटारा,गाड़ी crock 
चीनी,मिट्टी का मर्तबान crock 
चीनी,मिट्टी के बर्तन crock
अश्लीलता,smut 
कालिख,का दाग smut 
कालिख,smut 
कालिख,lampblack 
कालिख,soot 
विषादपूर्ण,plangent 
कोलाहलपूर्ण,plangent 
गुंजनशील,plangent 
गूँज,vibrancy 
गुंजायमान,डंग से sonorously 
गूँज,sonorousness 
गूँज,sonority 
बेटाआ,sonny boy 
बच्चा,देना cub 
कब,स्काउट्स Cub Scouts 
कब,स्काउट Cub Scout 
कब,cub 
कब्ज़,cub
गुंजायमान,sonorous 
बेटाआ,sonny 
सॉनेट,sonnet 
चतुर्दशपदी,कविता sonnet 
गायिका,songstress 
गीतकार,songster 
गाने,वाली चिड़िया songster
गायक,songster 
वाद्य,संगीत रचना sonata 
ऐस्डिक,asdic 
प्रतिध्वनि-ग्राहक,echo sounder 
सोनार,sonar 
कमीना,SOB 
नींद,में चलने की बीमारी से ग्रस्त somnambulistic 
नींद,में चलने की अवस्था के लिये उपयुक्त somnambulistic 
नींद,में चलने की बीमारी से संबंधित somnambulistic 
नींद,में चलने वाले से संबंधित somnambulistic 
उनींदा,slumbrous 
उनींदा,slumbery 
उनींदा,slumberous 
थकाऊ,somnolent 
उनींदा,somnolent 
कलाबाज़ी,खाना somersault 
किसी,कारण से for some reason 
किसी,तरह से in some manner 
किसी,तरह से someways 
जैसे-तैसे,somehow 
सॉंब्रेरो,Sombrero 
चौड़े,किनारे का टोप sombrero 
अंधकारपूर्ण,somber 
अंधकारपूर्ण,sombre 
अंधकारपूर्णता,somberness 
अंधकारपूर्णता,sombreness 
निराशा,somberness 
निराशा,sombreness 
गंभीरता,से somberly 
गंभीरता,से sombrely 
फीका,drab 
गंभीर,और विषादयुक्त somber 
निराशाजनक,somber 
निराशाजनक,sombre 
निराशाजनक,melancholy 
गंभीर,और विषादयुक्त sombre 
फीका,somber 
फीका,sombre 
विलायक,पदार्थ resolvent 
विलायक,पदार्थ dissolving agent 
विलायक,dissolver 
विलायक,dissolvent 
ऋण,चुकाने की क्षमता solvency 
शोधक्षमता,solvency 
ऋण-मुक्त,solvent 
संपन्न,solvent 
शोधक्षम,solvent 
विलायक,solvent 
विलायक,solvent 
समाधानकर्ता,convergent thinker 
समाधानकर्ता,problem solver 
समाधानकर्ता,solver 
समाधेय,resolvable 
समाधेय,solvable 
समाधान,निकालना solve 
सुलझ्जाना,solve 
उपाय,solution 
समाधेयता,solubility 
घुलनशीलता,solubility 
समाधेय,soluble 
घुलनशील,soluble 
अयनांत,solstice 
एकल,कलाकार soloist 
एकल,वादक soloist 
एकाकीपन,solitariness
एकाकीपन,solitariness
एकरत्नी,solitaire 
पेशेन्स,patience
सॉलिटेयर,solitaire
सॉलिटेयर,solitaire
आत्मवादी,solipsistic 
आत्मवाद,solipsism 
स्वगत,भाषण करना soliloquise 
स्वगत,भाषण करना soliloquize 
घनीकरण,solidifying 
घनीकरण,solidification 
जमाना,solidify 
जमना,solidify 
एकता,के साथ solidly 
बिना,रुके solidly 
लगातार,solidly 
मजबूती,से solidly 
दृढ़ता,solidness 
मजबूती,solidness 
मजबूती,solidity 
दृढ़ता,solidity 
ठोसपन,solidness 
ठोसपन,solidity 
चिंता,solicitousness 
चिंता,solicitude 
चिंतित,हो कर solicitously 
व्यग्रतापूर्वक,solicitously 
ध्यान,रखने वाला solicitous 
व्यग्र,solicitous 
सॉलिसिटर,जनरल Solicitor General 
महान्यायाभिकर्ता,Solicitor General 
याचक,solicitor 
भड़काना,solicit 
उकसाना,solicit 
यौन,संबंधों के लिये आग्रह करना solicit 
धंधे,के लिये लुभाना solicit 
माँगना,solicit 
याचना,करना solicit 
सरगम,tonic solfa 
सरगम,solfa 
गंभीर,बना देना solemnize 
गंभीर,बना देना solemnise 
विधिपूर्वक,संपादित करना solemnise 
विधिपूर्वक,संपादित करना solemnize 
औपचारिकता,solemnity
अभद्र,व्यवहार gaucheness 
देहातीपन,rusticity 
फूहड़पन,gaucherie 
अशिष्टता,gaucherie 
भारी,भूल gaffe 
बेहूदगी,solecism 
अशिष्टता,solecism 
अशुद्ध,प्रयोग solecism 
सैनिक,दल soldiery 
सेना,soldiery 
योद्धा,के समान warriorlike 
सिपाहियाना,soldierlike 
सिपाहियाना,soldierly 
सिपाहीगिरी,soldiering 
जुड़ाई,bonding 
झलाई,soldering 
झालना,solder 
झालन,solder 
बिका,हुआ sold 
सूर्य,स्नान कक्ष sun lounge 
सूर्य,स्नान कक्ष sun room 
सूर्य,स्नान कक्ष sunporch 
सूर्य,स्नान कक्ष sun porch 
सूर्य,स्नान कक्ष sun parlour 
सूर्य,स्नान कक्ष sun parlor 
स्वगत,कथन soliloquy 
सूर्य,स्नान कक्ष solarium 
विषुवीय,वर्ष equinoctial year 
तसल्ली,देना solace 
तसल्ली,solace 
तसल्ली,solacement 
सांद्वना,solacement 
सांत्वना,solace 
सांत्वना,देना solace 
पड़ाव,डालना sojourn 
अस्थाई,निवास sojourn 
गंदगी,रहित soilless 
गंदा,करना dirtying 
गंदा,करना soilure 
गंदा,करना soiling 
गीलापन,sogginess 
लिजलिजापन,sogginess 
लिजलिजा,doughy 
लंबाई,होना measure
दलदली,squashy 
नरम,squashy 
दलदली,muddy 
दलदली,mucky 
निस्तेज,soggy 
लिजलिजा,soggy 
दलदली,soggy 
कमज़ोर,softie 
कमज़ोर,softy 
कोमल,हृदय वाला softie 
कोमल,हृदय वाला softy 
नरम,लकड़ी deal 
सॉफ़्टवेयर,पैकेज software package 
सॉफ़्टवेयर,सिस्टम software system 
कम्प्यूटर,सॉफ़्टवेयर computer software 
मृदुकारी,softener
मृदुकारी,softener
हल्का,करना soften 
कम,करना soften
नरम,पड़ना soften 
कम,करना soften 
मृदुभाषी,softly-spoken 
मधुरभाषी,softly-spoken 
मृदुभाषी,soft-spoken 
खुशामद,करना soft-soap 
तरल,साबुन green soap 
तरल,साबुन soft soap 
बिखरा,हुआ diffused 
परिष्कृत,subtle 
आरामदेह,कमरा cubbyhole 
आरामदेह,कमरा cubby 
आराम,cosiness 
आराम,coziness 
चोटी,नाल वाला snub-nosed 
चुराना,lift 
ले,कर चंपत हो जाना nobble 
ले,कर चंपत हो जाना filch 
ले,कर चंपत हो जाना swipe 
ले,कर चंपत हो जाना snarf 
उठा,लेना purloin 
ले,कर चंपत हो जाना pilfer 
चोरी-छिपे,जाना pussyfoot 
चोरी-छिपे,जाना creep 
चोरी-छिपे,जाना mouse 
फुर्तीला,zippy 
स्फूर्तिदायक,crisp 
चुस्त,whipping 
